2025-07-14 00:06:17|INFO    |__main__|hand_detection.py:5|啟動手勢辨識中...
2025-07-14 00:25:23|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:25:44|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:27:16|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:28:07|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:29:34|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:33:17|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:33:27|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:35:50|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:37:45|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:40:56|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:41:52|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:43:30|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:47:26|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
2025-07-14 00:50:23|INFO    |log_test.logger_config|__init__.py:6|這是主程式印出的 log
